term,Estimate,Std. Error,t value,CI_lower,CI_upper,type,threshold,level,header
as.factor(leftright)1,0.13164309081261186,0.018636736693337652,7.063634206930242,0.09511508689367006,0.16817109473155367,Non-Political News,3,(A) Country: Germany,(A) Country
as.factor(leftright)1,0.2604349138451492,0.013847154456319845,18.807829050125648,0.23329449111076234,0.2875753365795361,Non-Political News,3,(A) Country: Spain,(A) Country
as.factor(leftright)1,0.06222698092958961,0.013499473435138234,4.609585790777357,0.03576801299671867,0.08868594886246055,Non-Political News,3,(A) Country: France,(A) Country
as.factor(leftright)1,0.12338465626625707,0.013318614416562345,9.264076007247589,0.09728017200979487,0.14948914052271928,Non-Political News,3,(A) Country: Italy,(A) Country
as.factor(leftright)1,0.10164433187947203,0.016700452645626408,6.086321972003024,0.06891144469404427,0.1343772190648998,Non-Political News,3,(A) Country: United Kingdom,(A) Country
as.factor(leftright)1,0.23395176932921938,0.014770160382525618,15.8394874036713,0.20500225497946917,0.2629012836789696,Non-Political News,3,(A) Country: USA,(A) Country
as.factor(leftright)1,0.134847818066956,0.018961095627671395,7.111815725994343,0.09768407063672008,0.17201156549719193,Non-Political News,10,(A) Country: Germany,(A) Country
as.factor(leftright)1,0.26223123061848025,0.014057043137354067,18.65479304973091,0.23467942606926628,0.2897830351676942,Non-Political News,10,(A) Country: Spain,(A) Country
as.factor(leftright)1,0.061676828065839795,0.013678480350505406,4.509040952313164,0.0348670065788492,0.0884866495528304,Non-Political News,10,(A) Country: France,(A) Country
as.factor(leftright)1,0.1318779915040788,0.013531354839178627,9.746103998561907,0.1053565360192887,0.1583994469888689,Non-Political News,10,(A) Country: Italy,(A) Country
as.factor(leftright)1,0.1024097290638071,0.01689417303745836,6.061837346920776,0.06929714991038871,0.1355223082172255,Non-Political News,10,(A) Country: United Kingdom,(A) Country
as.factor(leftright)1,0.2364032730041181,0.015010353878428421,15.749347078609278,0.20698297940239838,0.2658235666058378,Non-Political News,10,(A) Country: USA,(A) Country
