term,Estimate,Std. Error,t value,CI_lower,CI_upper,type,threshold,level,header
leftright,0.05292499192775802,0.011111137524887186,4.7632379501391675,0.031147162378979135,0.07470282147653691,Non-Political News,3,(A) Country: Germany,(A) Country
leftright,0.10436144822639654,0.006608961388413662,15.790899975502239,0.09140788390510576,0.11731501254768731,Non-Political News,3,(A) Country: Spain,(A) Country
leftright,0.03029232447458886,0.006459792755716,4.689364755205878,0.017631130673385502,0.04295351827579222,Non-Political News,3,(A) Country: France,(A) Country
leftright,0.05928588267177277,0.006366979025571491,9.311461908962603,0.04680660378165265,0.07176516156189289,Non-Political News,3,(A) Country: Italy,(A) Country
leftright,0.06501245625325891,0.009961058665823388,6.5266613152594,0.04548878126824507,0.08453613123827275,Non-Political News,3,(A) Country: United Kingdom,(A) Country
leftright,0.12343997698174804,0.006820788513536916,18.097610963418994,0.11007123149521568,0.13680872246828038,Non-Political News,3,(A) Country: USA,(A) Country
leftright,0.05166409052903941,0.011238625572211025,4.597011458125774,0.0296363844075058,0.07369179665057302,Non-Political News,10,(A) Country: Germany,(A) Country
leftright,0.10709112795830601,0.0066857734086796195,16.01776210651679,0.09398701207729396,0.12019524383931807,Non-Political News,10,(A) Country: Spain,(A) Country
leftright,0.0300763480777588,0.006523721279170587,4.6103054975369275,0.017289854370584445,0.04286284178493315,Non-Political News,10,(A) Country: France,(A) Country
leftright,0.0627532729385253,0.0064425807789080134,9.740393654662359,0.05012581461186559,0.075380731265185,Non-Political News,10,(A) Country: Italy,(A) Country
leftright,0.06628758570595719,0.010040411906477443,6.602078313459691,0.046608378369261405,0.08596679304265298,Non-Political News,10,(A) Country: United Kingdom,(A) Country
leftright,0.125197335856934,0.006914005437750967,18.107786721333415,0.11164588519894209,0.1387487865149259,Non-Political News,10,(A) Country: USA,(A) Country
leftright,0.05486839190067811,0.011723795352906864,4.680087825575506,0.031889753008980656,0.07784703079237557,Non-Political News,30,(A) Country: Germany,(A) Country
leftright,0.1154013424723027,0.006979241748211057,16.534939845275137,0.10172202864580902,0.12908065629879636,Non-Political News,30,(A) Country: Spain,(A) Country
leftright,0.03323105362746493,0.006786663574984408,4.896522902646058,0.019929193020495492,0.04653291423443437,Non-Political News,30,(A) Country: France,(A) Country
leftright,0.06845891995943308,0.006726296197056911,10.177803348800973,0.055275379413201535,0.08164246050566462,Non-Political News,30,(A) Country: Italy,(A) Country
leftright,0.0688842952766139,0.010422792748092888,6.609005565156038,0.04845562149035183,0.08931296906287596,Non-Political News,30,(A) Country: United Kingdom,(A) Country
leftright,0.13009124311866088,0.007214398988355906,18.03216641173147,0.11595102110148331,0.14423146513583845,Non-Political News,30,(A) Country: USA,(A) Country
leftright,0.061768702217949695,0.012550823139830579,4.921486147145525,0.03716908886388176,0.08636831557201763,Non-Political News,60,(A) Country: Germany,(A) Country
leftright,0.12501962180851345,0.007445287016857077,16.791780024793287,0.11042685925547358,0.13961238436155332,Non-Political News,60,(A) Country: Spain,(A) Country
leftright,0.04028439576687786,0.007214876293864854,5.583518569976531,0.026143238230902748,0.05442555330285297,Non-Political News,60,(A) Country: France,(A) Country
leftright,0.06876911799738389,0.007141223861239964,9.629878482123816,0.05477231922935356,0.08276591676541421,Non-Political News,60,(A) Country: Italy,(A) Country
leftright,0.0724760019178124,0.011022887710310835,6.575046741156419,0.05087114200560316,0.09408086183002162,Non-Political News,60,(A) Country: United Kingdom,(A) Country
leftright,0.1364535914865877,0.007648829561531594,17.839800245106307,0.12146188554598578,0.15144529742718962,Non-Political News,60,(A) Country: USA,(A) Country
leftright,0.07188552924213806,0.014223260646648106,5.054082254977083,0.044007938374707775,0.09976312010956835,Non-Political News,120,(A) Country: Germany,(A) Country
leftright,0.1372845913259782,0.008459995661084322,16.22750138720312,0.12070299983025293,0.15386618282170347,Non-Political News,120,(A) Country: Spain,(A) Country
leftright,0.05182974599114709,0.0082180990896488,6.306780366816194,0.035722271775435445,0.06793722020685874,Non-Political News,120,(A) Country: France,(A) Country
leftright,0.0730506640031749,0.008141255205840137,8.972899406319058,0.05709380379972824,0.08900752420662157,Non-Political News,120,(A) Country: Italy,(A) Country
leftright,0.07583552635575624,0.01240323384721719,6.1141737138795325,0.051525188015210555,0.10014586469630193,Non-Political News,120,(A) Country: United Kingdom,(A) Country
leftright,0.16075643412998708,0.008712082827220604,18.452124172615658,0.1436807517886347,0.17783211647133945,Non-Political News,120,(A) Country: USA,(A) Country
leftright,0.07296824721175915,0.018462360090876827,3.952270828463388,0.03678202143364057,0.10915447298987774,Political News,3,(A) Country: Germany,(A) Country
leftright,0.15113234649468105,0.010131588061382438,14.916945456037352,0.13127443389437146,0.17099025909499063,Political News,3,(A) Country: Spain,(A) Country
leftright,0.04270213558126843,0.009957431666558008,4.288468855345839,0.023185569514814736,0.06221870164772213,Political News,3,(A) Country: France,(A) Country
leftright,0.13239289947882923,0.010888912475922274,12.1585052475698,0.11105063102602158,0.15373516793163688,Political News,3,(A) Country: Italy,(A) Country
leftright,0.10747302451479054,0.0163210629146776,6.5849280207197545,0.07548374120202245,0.13946230782755864,Political News,3,(A) Country: United Kingdom,(A) Country
leftright,0.22915142776397,0.01115555193543377,20.541469314136602,0.2072865459705198,0.25101630955742016,Political News,3,(A) Country: USA,(A) Country
leftright,0.07196336973249601,0.018920464452005428,3.803467399811553,0.03487925940656537,0.10904748005842665,Political News,10,(A) Country: Germany,(A) Country
leftright,0.15727817745448133,0.010300796428909405,15.268545353743402,0.1370886164538189,0.17746773845514377,Political News,10,(A) Country: Spain,(A) Country
